head position, look position, look item name
(-7.18, 1.15, 8.08), (-5.64, 1.15, 6.54), Model ship
(-7.20, 1.75, 8.39), (-3.61, 1.51, 5.33), Front wall
(-7.12, 1.74, 8.47), (-3.77, 1.47, 4.96), Right wall
(-7.05, 1.74, 8.53), (-3.61, 1.26, 5.46), Front wall
(-7.04, 1.74, 8.51), (-3.61, 1.38, 7.09), Front wall
(-6.93, 1.75, 8.15), (-3.61, 1.66, 6.31), Front wall
(-6.78, 1.75, 7.78), (-3.61, 1.61, 7.32), Front wall
(-6.84, 1.75, 7.67), (-6.10, 1.80, 5.03), Ship height menu
(-6.83, 1.76, 7.67), (-6.27, 1.93, 5.03), Ship height menu
(-6.73, 1.71, 7.73), (-5.63, 1.36, 7.45), Model ship
(-6.73, 1.70, 7.73), (-5.64, 1.23, 7.64), Model ship
(-6.73, 1.69, 7.75), (-5.64, 1.20, 7.87), Model ship
(-6.77, 1.70, 7.81), (-4.62, 0.69, 9.74), left wall
(-6.79, 1.73, 7.80), (-4.94, 1.32, 9.74), left wall
(-6.81, 1.73, 7.79), (-5.37, 1.23, 9.74), left wall
(-6.85, 1.72, 7.74), (-5.38, 1.15, 9.74), left wall
(-6.87, 1.72, 7.74), (-5.36, 1.24, 9.74), left wall
(-6.87, 1.72, 7.75), (-5.31, 1.25, 9.74), left wall
(-6.87, 1.72, 7.74), (-5.29, 1.26, 9.74), left wall
(-6.86, 1.72, 7.74), (-5.44, 1.11, 9.74), left wall
(-6.86, 1.72, 7.76), (-6.08, 1.38, 8.90), Info Panel
(-6.88, 1.76, 7.85), (-6.15, 1.88, 8.99), Info Panel
(-6.69, 1.75, 8.16), (-6.08, 1.77, 8.94), Info Panel
(-6.62, 1.77, 8.26), (-6.07, 1.87, 8.96), Info Panel
(-6.55, 1.74, 8.34), (-6.12, 1.69, 8.97), Info Panel
(-6.56, 1.75, 8.34), (-6.14, 1.75, 9.00), Info Panel
(-6.57, 1.74, 8.32), (-6.20, 1.61, 9.02), Info Panel
(-6.58, 1.74, 8.36), (-6.12, 1.63, 8.95), Info Panel
(-6.56, 1.74, 8.42), (-6.10, 1.65, 8.94), Info Panel
(-6.56, 1.75, 8.35), (-6.12, 1.67, 8.96), Info Panel
